grammar_error_sentence,corrected_sentence,spelling_error_sentences
ඔබ සින්දු කිව්වොත් නුබ ඔහුට පොතක් දෙති,ඔබ සින්දු කිව්වොත් අපි ඔහුට පොතක් දෙවෙමු,බ සින්දු කිව්වොත් අපි ඔහුට පොතක් දෙවෙමු
ලස්සන වාහන ගෙදර යවන්නෝය,ලස්සන වාහන ගෙදර යවන්නේය,ලස්සන වාහන ගෙර යවන්නේය
මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගනින්,මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගන්නේය,මම නැටුම් නටද්ද වාහනය ඔහුගෙන් පොතක් ගන්නේය
ලස්සන වාහන පොත බලා ගෙදර යන්නෙමි,ලස්සන වාහන පොත බලා ගෙදර යන්නීය,ලසසන වාහන පොත බලා ගෙදර යන්නීය
අපි බත් කමින් වේගයෙන් යැවවේ,අපි බත් කමින් වේගයෙන් යැවෙමු,අපි බත් කමි් වේගයෙන් යැවෙමු
නුබ බත් කමින් ගෙදර වේගයෙන් යැවවෙයි,නුබ බත් කමින් ගෙදර වේගයෙන් ගියෙහි,නුබ බත් කමින් ෙදර වේගයෙන් ගියෙහි
මම බත් කමින් යැවවේ,මම බත් කමින් යැවෙමි,මම බත කමින් යැවෙමි
මම නැටුම් නටද්දී මම ඔහුට පොතක් ගන්නීය,මම නැටුම් නටද්දී වාහන ගෙදර වේගයෙන් යැවවේ,මම නැටුම් නටද්දී වාහන ගෙදර වේයෙන් යැවවේ
වාහනය පොත බලා ගියෙහි,වාහනය පොත බලා යවයි,වාහනය පොත බලා වයි
අපි ඔහුගෙන් පොතක් දෙන්න,වාහන ඔහුගෙන් පොතක් ගැනවේ,වාහන ඔහුගෙන් පොතක ගැනවේ
මම නැටුම් නටද්දී ළමයා ගෙදර යහු,මම නැටුම් නටද්දී ළමයා ගෙදර යවයි,මම නැටුම් නටද්දී ළමයා ගෙදර යවි
ළමයා ඔහුට පොතක් දුන්නෙහු,ළමයා ඔහුට පොතක් දෙවයි,මයා ඔහුට පොතක් දෙවයි
ඔබ සින්දු කිව්වොත් අපි ඔහුට පොතක් දෙන්නීය,ඔබ සින්දු කිව්වොත් මම ඔහුට පොතක් දෙවෙමි,ඔබ සින්දු කිව්වොත් මම ඔහුට පොතක් ෙවෙමි
වාහනය ඔහුට පොතක් ගන්නලදී,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ෙදර වේගයෙන් යැවවේ
වාහන ඔහුට පොතක් දෙවහි,වාහන ඔහුට පොතක් දෙවයි,වාහන ඔහු පොතක් දෙවයි
ඔබ සින්දු කිව්වොත් නුබලා ඔහුගෙන් පොතක් ගන්නෙමි,ඔබ සින්දු කිව්වොත් නුබලා ඔහුගෙන් පොතක් ගන්නවාලා,ඔබ සින්ු කිව්වොත් නුබලා ඔහුගෙන් පොතක් ගන්නවාලා
මම නැටුම් නටද්දී වාහනය ගෙදර යවන්නෙමි,මම නැටුම් නටද්දී වාහනය ගෙදර යවන්නීය,මම නැටුම් ටද්දී වාහනය ගෙදර යවන්නීය
ළමයා බත් කමින් ගෙදර වේගයෙන් ගියෝය,ළමයා බත් කමින් ගෙදර වේගයෙන් ගියේය,ළමයා බත් කමින් ගෙද වේගයෙන් ගියේය
මම නැටුම් නටද්දී ළමයි යමි,මම නැටුම් නටද්දී ළමයි යන්නෝය,මම නැටුම් නටද්ී ළමයි යන්නෝය
නුබ ඔහුගෙන් පොතක් ගන්වන්නෝය,නුබ ඔහුගෙන් පොතක් ගන්වන්නෙහි,නුබ ඔහුගෙන් පොත් ගන්වන්නෙහි
මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගන්වන්නෙහි,මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොතක් ගන්වන්නීය,මම නැටුම් නටද්දී වාහනය ඔහුගෙන් පොත් ගන්වන්නීය
ළමයි ඔහුට පොතක් ගන්වයි,වාහන ගෙදර වේගයෙන් යැවවේ,වාහන ගෙර වේගයෙන් යැවවේ
ලස්සන නුබ බත් කමින් ගෙදර යනලදී,ලස්සන නුබ බත් කමින් ගෙදර යහිවා,ලස්සන නුබ බත් කමින් ගෙදර යහිව
අපි පොත බලා ගෙදර යවමි,අපි පොත බලා ගෙදර යවන්නෙමු,අපි පත බලා ගෙදර යවන්නෙමු
ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් දෙවමු,ඔබ සින්දු කිව්වොත් වාහන ඔහුගෙන් පොතක් ගැනවේ,ඔබ සින්දු කිව්වොත් වාහන ඔහුෙන් පොතක් ගැනවේ
ලස්සන නුබ පොත බලා ගෙදර යමු,ලස්සන නුබ පොත බලා ගෙදර යන්නෙහිවා,ලස්සන නු පොත බලා ගෙදර යන්නෙහිවා
අපි ඔහුට පොතක් දුන්නෝය,අපි ඔහුට පොතක් දුන්නෙමු,අපි ඔහුට පොතක් දන්නෙමු
ඔබ සින්දු කිව්වොත් අපි ගෙදර යත්වා,ඔබ සින්දු කිව්වොත් මම ගෙදර යැවෙමි,ඔබ සන්දු කිව්වොත් මම ගෙදර යැවෙමි
